Date,Value
2023-01-01,100
2023-01-02,102
2023-01-03,104
2023-01-04,103
2023-01-05,105
2023-01-06,108
2023-01-07,110
2023-01-08,112
2023-01-09,115
2023-01-10,117
2023-01-11,120
2023-01-12,122
2023-01-13,121
2023-01-14,123
2023-01-15,125
2023-01-16,127
2023-01-17,130
2023-01-18,132
2023-01-19,135
2023-01-20,138
2023-01-21,137
2023-01-22,139
2023-01-23,141
2023-01-24,143
2023-01-25,145
2023-01-26,148
2023-01-27,150
2023-01-28,153
2023-01-29,155
2023-01-30,157
2023-01-31,160
2023-02-01,162
2023-02-02,164
2023-02-03,167
2023-02-04,170
2023-02-05,169
2023-02-06,172
2023-02-07,174
2023-02-08,177
2023-02-09,179
2023-02-10,182
2023-02-11,184
2023-02-12,183
2023-02-13,186
2023-02-14,189
2023-02-15,191
2023-02-16,194
2023-02-17,196
2023-02-18,198
2023-02-19,201
2023-02-20,203
2023-02-21,205
2023-02-22,208
2023-02-23,210
2023-02-24,213
2023-02-25,215
2023-02-26,217
2023-02-27,220
2023-02-28,222
2023-03-01,225
