Date,Value
2022-01-01,120
2022-01-02,122
2022-01-03,121
2022-01-04,124
2022-01-05,123
2022-01-06,125
2022-01-07,127
2022-01-08,128
2022-01-09,126
2022-01-10,129
2022-01-11,130
2022-01-12,132
2022-01-13,131
2022-01-14,134
2022-01-15,133
2022-01-16,135
2022-01-17,137
2022-01-18,136
2022-01-19,138
2022-01-20,140
2022-01-21,139
2022-01-22,141
2022-01-23,143
2022-01-24,142
2022-01-25,144
2022-01-26,146
2022-01-27,145
2022-01-28,147
2022-01-29,149
2022-01-30,148
2022-01-31,150
2022-02-01,152
2022-02-02,151
2022-02-03,153
2022-02-04,155
2022-02-05,154
2022-02-06,156
2022-02-07,158
2022-02-08,157
2022-02-09,159
2022-02-10,161
2022-02-11,160
2022-02-12,162
2022-02-13,164
2022-02-14,163
2022-02-15,165
2022-02-16,167
2022-02-17,166
2022-02-18,168
2022-02-19,170
2022-02-20,169
2022-02-21,171
2022-02-22,173
2022-02-23,172
2022-02-24,174
2022-02-25,176
2022-02-26,175
2022-02-27,177
2022-02-28,179
2022-03-01,178
